"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point","discrete_point","time_point"
"1","ffebd2f2393262c246dd9c1f8b99e19c",488,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",68,2,"2020-07-16T00:00:00Z"
"2","dd490af910ed742cac592d4773bfcddf",488,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",79,3,"2020-04-30T00:00:00Z"
"3","031e25f0de5a7e1fce685072ad11550d",487,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",80,2,"2020-04-16T00:00:00Z"
"4","699e9ed8bfcaa10f95eb22233588369b",490,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",76,1,"2020-08-27T00:00:00Z"
"5","bd96e562571e6673df379f38a87f9a02",495,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",99,1,"2019-12-06T00:00:00Z"
"6","63710b2542658e9a0ea1b4f049824169",490,"male","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",76,3,"2019-09-25T00:00:00Z"
"7","bfb02a51eb558ec56c53bbeb7c23184d",367,"male","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",95,2,"2017-09-04T00:00:00Z"
"8","32046c267520a34f8b108488499d6c72",375,"female","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",125,1,"2017-10-13T00:00:00Z"
"9","e081c1ee9a1f4e9013743902daba70ed",366,"female","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",104,2,"2018-12-19T00:00:00Z"
"10","e388cef0d6871a5828004a84c4ed8c81",375,"female","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",107,1,"2017-10-13T00:00:00Z"
"11","d2c109a35dad6a63ebe25586f91a99ca",373,"female","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",115,1,"2019-05-15T00:00:00Z"
"12","e210287b5e523b049eb9f992aef59df1",365,"male","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",71,2,"2018-12-18T00:00:00Z"
"13","d48fe4995f848ea61e8a1e383e2f1938",373,"male","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",95,2,"2017-11-09T00:00:00Z"
"14","97bf252b069187a12f8310e27340aa55",371,"male","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",103,2,"2017-11-09T00:00:00Z"
"15","9a52bba8003857370f11e6e0e624b02a",376,"female","GMC late adult (53 weeks)","HMGULA_001","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",86,2,"2017-11-10T00:00:00Z"
"16","031e25f0de5a7e1fce685072ad11550d",487,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",84,1,"2020-04-16T00:00:00Z"
"17","fe0ed7ab23662c8b893b2008baa4446f",491,"male","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",67,1,"2019-10-29T00:00:00Z"
"18","5be636c398e271b2392393a6f0512ba7",491,"male","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",61,3,"2020-07-15T00:00:00Z"
"19","33d2044e61d37be6fd0f8574a74d3a49",489,"male","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",72,1,"2021-01-20T00:00:00Z"
"20","06d7c1c4eecb312a27b56141ab8056c4",489,"male","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",75,1,"2020-07-15T00:00:00Z"
"21","dfce9ac17d91cc0800cbc81f2dc4590b",492,"female","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",92,2,"2021-08-06T00:00:00Z"
"22","cd5798f158791fc596993f242568526d",489,"male","GMC late adult (70 weeks)","HMGULA_002","Grip Strength","HMGULA_GRS_001","HMGULA_GRS","Forelimb grip strength measurement","HMGULA_GRS_001_001",88,1,"2020-08-26T00:00:00Z"
